Modification,Metric,P-Value
flags,ttfb_p_value,0.6513805499750792
flags,throughput_p_value,0.3084259898063595
flags,rtt_p_value,0.9047497842406048
flags,latency_p_value,0.6581253696276513
distance,ttfb_p_value,2.7645364984041937e-08
distance,throughput_p_value,2.4458770444171685e-31
distance,rtt_p_value,0.00010314309791317048
distance,latency_p_value,4.665695987410895e-08
bandwidth,ttfb_p_value,0.04131099892285466
bandwidth,throughput_p_value,0.008663868819732298
bandwidth,rtt_p_value,0.3164332481360797
bandwidth,latency_p_value,0.10279625780423121
overload,ttfb_p_value,0.16157549700991108
overload,throughput_p_value,0.6615885527528298
overload,rtt_p_value,0.15714012636111607
overload,latency_p_value,0.12541054522455292
combined_60-95,ttfb_p_value,9.878946028461772e-31
combined_60-95,throughput_p_value,3.886815048593186e-36
combined_60-95,rtt_p_value,3.7619190292893815e-33
combined_60-95,latency_p_value,8.132544172767641e-21
