Modification,Tests,TTFB (ms),% Difference,Throughput (Kbps),% Difference,RTT (ms),% Difference,Latency (ms),% Difference
flags,Vanilla Tor,487.709,,1.587,,181.87,,196.349,
,flags Tor,497.9,2.08957,1.56,-1.69618,200.589,10.29261,226.288,15.2481
distance,Vanilla Tor,479.28,,1.616,,190.109,,208.404,
,distance Tor,303.058,-36.76817,2.55,57.77262,122.395,-35.61866,133.888,-35.75571
bandwidth,Vanilla Tor,462.39,,1.678,,185.489,,196.157,
,bandwidth Tor,558.549,20.79621,1.381,-17.72097,249.72,34.62788,257.572,31.30851
overload,Vanilla Tor,481.382,,1.608,,203.771,,229.423,
,overload Tor,486.915,1.1494,1.591,-1.04829,210.288,3.19817,212.038,-7.57771
combined_60-95,Vanilla Tor,468.159,,1.659,,179.572,,195.266,
,combined_60-95 Tor,289.049,-38.25826,2.674,61.14859,116.415,-35.17083,123.71,-36.6454
