Modification,Metric,P-Value
flags,ttfb_p_value,0.3098689332138114
flags,throughput_p_value,0.6788303127915715
flags,rtt_p_value,0.1948405084318245
flags,latency_p_value,0.12977132424000504
distance,ttfb_p_value,7.844348250046423e-05
distance,throughput_p_value,0.0003130307576520637
distance,rtt_p_value,0.557845328061739
distance,latency_p_value,2.30020533319252e-06
bandwidth,ttfb_p_value,0.8405721529587648
bandwidth,throughput_p_value,0.22846017291972046
bandwidth,rtt_p_value,0.498180923994069
bandwidth,latency_p_value,0.5891108074482319
overload,ttfb_p_value,0.08116849173197797
overload,throughput_p_value,0.1288217261585219
overload,rtt_p_value,0.43925165845556435
overload,latency_p_value,0.2273470740832248
combined_60-95,ttfb_p_value,2.91597198241898e-11
combined_60-95,throughput_p_value,3.631223706885993e-07
combined_60-95,rtt_p_value,2.234636462948707e-15
combined_60-95,latency_p_value,1.3242387175134386e-19
