Modification,Tests,TTFB (ms),% Difference,Throughput (Kbps),% Difference,RTT (ms),% Difference,Latency (ms),% Difference
flags,Vanilla Tor,452.534,,1.708,,202.541,,225.243,
,flags Tor,492.604,8.85458,1.59,-0.007,235.16,16.10505,259.484,15.2018
distance,Vanilla Tor,448.716,,1.74,,191.402,,230.162,
,distance Tor,263.102,-41.36552,2.937,0.069,124.163,-35.12991,136.166,-40.83919
bandwidth,Vanilla Tor,386.924,,1.997,,166.997,,175.131,
,bandwidth Tor,552.368,42.7591,1.399,-0.03,251.299,50.48134,261.816,49.49695
overload,Vanilla Tor,466.204,,1.687,,201.07,,222.165,
,overload Tor,491.154,5.35173,1.576,-0.007,229.235,14.00734,225.725,1.60241
combined_60-95,Vanilla Tor,416.762,,1.87,,208.878,,207.162,
,combined_60-95 Tor,236.23,-43.31765,3.271,0.075,115.478,-44.71488,121.635,-41.28522
