parameter_type,percentile,ttfb_median,throughput_median,rtt_median,latency_median
distance,10_percent,0.6506047199999999,1399.037548485369,0.32104958772659303,0.32479998000000004
distance,20_percent,0.48346929999999994,1848.3145419666316,0.214350323677063,0.22049411
distance,30_percent,0.5635956,1600.1673006910676,0.2305516457557678,0.25729057
distance,40_percent,0.56770534,1524.438633404305,0.2700713396072388,0.2798315599999999
distance,50_percent,0.4749197700000001,1850.3530921252311,0.21658787965774537,0.23187538
distance,60_percent,0.4174872424242425,2188.139240554381,0.1674287295100665,0.21076063636363634
distance,70_percent,0.56264885,1712.3012758532204,0.2436882448196411,0.27199337999999995
distance,80_percent,0.58709394,1469.9649988747874,0.2562612581253052,0.265129
distance,90_percent,0.60989255,1472.604816525811,0.258954017162323,0.27166383
distance,95_percent,0.78818539,1111.0332114606556,0.3496409845352173,0.31948302
bandwidth,10_percent,0.68368931,1297.4655684132342,0.3281265187263489,0.29811644000000004
bandwidth,20_percent,1.0634256599999998,1151.9430787797103,0.3623662424087524,0.34987055000000006
bandwidth,30_percent,0.82983417,1142.8452302399462,0.35647771835327147,0.31722462
bandwidth,40_percent,0.7928020899999999,1242.0868249652344,0.4105433678627014,0.33957377
bandwidth,50_percent,0.8006519900000001,1265.2081298586356,0.34284655094146727,0.34457206
bandwidth,60_percent,0.80615289,1176.780287182156,0.3483693981170654,0.36916285000000004
bandwidth,70_percent,0.7606016500000001,1214.456653788773,0.31087967157363894,0.32801916
bandwidth,80_percent,0.7495416899999999,1218.8105287348926,0.3325607109069824,0.31445321
bandwidth,90_percent,0.67565778,1425.1325046839731,0.30477739572525026,0.28479473999999994
bandwidth,95_percent,0.6055290505050506,1628.1171377561054,0.2454682094882233,0.2372570202020202
flags,0_percent,0.6333946565656565,1797.3608376042182,0.3784253717672945,0.3058045555555555
flags,1_percent,0.54039137,1801.8288839022903,0.24583640575408935,0.24574711000000002
overload,0.5_percent,0.5595513400000001,1763.8962635195671,0.23080448627471925,0.23357650000000002
overload,1_percent,0.62867379,1619.1596234407414,0.26534644842147825,0.27082167
overload,3_percent,0.5624674900000001,1875.5617842838856,0.2559834575653076,0.23419589999999996
overload,6_percent,0.65154004,1796.2311401335276,0.32447731256484985,0.30082211000000003
overload,9_percent,0.63315535,1696.998221505319,0.24794673681259155,0.2783917
overload,20_percent,0.59952737,1855.8475613487203,0.27069825887680055,0.30198938999999997
distance-bandwidth,30-30_percent,0.48708286666666667,2036.0355185094036,0.16807967821757,0.2613099666666666
distance-bandwidth,30-40_percent,0.3848974666666667,2179.288568796068,0.17394097646077475,0.17326893333333335
distance-bandwidth,30-50_percent,0.5178514000000001,1604.4845496615496,0.2741245667139689,0.26312076666666667
distance-bandwidth,30-60_percent,0.5462844666666666,1581.633616218307,0.24507519404093425,0.2649163
distance-bandwidth,30-70_percent,0.6307359666666665,1391.3417612865098,0.2750286102294922,0.3249308333333333
distance-bandwidth,30-80_percent,0.49151730000000005,1703.945382135606,0.24971309502919514,0.2372253
